OfficeID,OfficeName,Date,DayOfWeek,IsOpen,MaxSlots,Appointments Open
2372,St Cloud Dentistry,2/15/2026 0:00,Sunday,FALSE,0,0
2372,St Cloud Dentistry,2/16/2026 0:00,Monday,TRUE,27,2
2372,St Cloud Dentistry,2/17/2026 0:00,Tuesday,TRUE,27,5
2372,St Cloud Dentistry,2/18/2026 0:00,Wednesday,TRUE,27,6
2372,St Cloud Dentistry,2/19/2026 0:00,Thursday,TRUE,27,5
2372,St Cloud Dentistry,2/20/2026 0:00,Friday,TRUE,15,4
2372,St Cloud Dentistry,2/21/2026 0:00,Saturday,FALSE,0,0
2372,St Cloud Dentistry,2/22/2026 0:00,Sunday,FALSE,0,0
2372,St Cloud Dentistry,2/23/2026 0:00,Monday,TRUE,27,10
2372,St Cloud Dentistry,2/24/2026 0:00,Tuesday,TRUE,27,4
2372,St Cloud Dentistry,2/25/2026 0:00,Wednesday,TRUE,27,6
2372,St Cloud Dentistry,2/26/2026 0:00,Thursday,TRUE,27,5
2372,St Cloud Dentistry,2/27/2026 0:00,Friday,TRUE,15,4
2372,St Cloud Dentistry,2/28/2026 0:00,Saturday,FALSE,0,0
2372,St Cloud Dentistry,3/1/2026 0:00,Sunday,FALSE,0,0
2372,St Cloud Dentistry,3/2/2026 0:00,Monday,TRUE,27,10
2372,St Cloud Dentistry,3/3/2026 0:00,Tuesday,TRUE,27,6
2372,St Cloud Dentistry,3/4/2026 0:00,Wednesday,TRUE,27,9
2372,St Cloud Dentistry,3/5/2026 0:00,Thursday,TRUE,27,10
2372,St Cloud Dentistry,3/6/2026 0:00,Friday,TRUE,15,6
2372,St Cloud Dentistry,3/7/2026 0:00,Saturday,FALSE,0,0
2372,St Cloud Dentistry,3/8/2026 0:00,Sunday,FALSE,0,0
2372,St Cloud Dentistry,3/9/2026 0:00,Monday,TRUE,27,11
2372,St Cloud Dentistry,3/10/2026 0:00,Tuesday,TRUE,27,13
2372,St Cloud Dentistry,3/11/2026 0:00,Wednesday,TRUE,27,10
2372,St Cloud Dentistry,3/12/2026 0:00,Thursday,TRUE,27,14
2372,St Cloud Dentistry,3/13/2026 0:00,Friday,TRUE,15,6
2372,St Cloud Dentistry,3/14/2026 0:00,Saturday,FALSE,0,0
2372,St Cloud Dentistry,3/15/2026 0:00,Sunday,FALSE,0,0
1484,Dental Care at Gateway Commons,2/15/2026 0:00,Sunday,FALSE,0,0
1484,Dental Care at Gateway Commons,2/16/2026 0:00,Monday,TRUE,27,7
1484,Dental Care at Gateway Commons,2/17/2026 0:00,Tuesday,TRUE,30,9
1484,Dental Care at Gateway Commons,2/18/2026 0:00,Wednesday,TRUE,24,11
1484,Dental Care at Gateway Commons,2/19/2026 0:00,Thursday,TRUE,30,7
1484,Dental Care at Gateway Commons,2/20/2026 0:00,Friday,TRUE,27,11
1484,Dental Care at Gateway Commons,2/21/2026 0:00,Saturday,FALSE,0,0
1484,Dental Care at Gateway Commons,2/22/2026 0:00,Sunday,FALSE,0,0
1484,Dental Care at Gateway Commons,2/23/2026 0:00,Monday,TRUE,27,1
1484,Dental Care at Gateway Commons,2/24/2026 0:00,Tuesday,TRUE,30,9
1484,Dental Care at Gateway Commons,2/25/2026 0:00,Wednesday,TRUE,24,8
